,name,reviewer,price,restauran_type,star
48,8. Velvet Taco,52,,,4.5 star rating
49,9. JCT Kitchen & Bar,1795,,,4 star rating
50,10. Le Fat,402,$$,,4 star rating
51,Firehouse Subs,63,,,3.5 star rating
52,Moe’s Southwest Grill,,,,
53,QDOBA Mexican Eats,5,,,3 star rating
54,1. There on Fifth,39,,,5 star rating
55,2. Rock Steady - Atlanta,197,$$,,4 star rating
56,3. The Optimist,1764,,,4.5 star rating
57,4. Food Terminal - Atlanta,173,$$,,4.5 star rating
58,5. Forza Storico,222,,,4 star rating
59,6. Choong Man Chicken - Georgia Tech,51,,,4 star rating
60,7. Pijiu Belly,442,,,4 star rating
61,8. Velvet Taco,52,,,4.5 star rating
62,9. JCT Kitchen & Bar,1795,,,4 star rating
63,10. Le Fat,402,$$,,4 star rating
64,Firehouse Subs,63,,,3.5 star rating
65,Moe’s Southwest Grill,,,,
66,QDOBA Mexican Eats,5,,,3 star rating
67,1. There on Fifth,39,,,5 star rating
68,2. Rock Steady - Atlanta,197,$$,,4 star rating
69,3. The Optimist,1764,,,4.5 star rating
70,4. Food Terminal - Atlanta,173,$$,,4.5 star rating
71,5. Forza Storico,222,,,4 star rating
72,6. Choong Man Chicken - Georgia Tech,51,,,4 star rating
73,7. Pijiu Belly,442,,,4 star rating
74,8. Velvet Taco,52,,,4.5 star rating
75,9. JCT Kitchen & Bar,1795,,,4 star rating
76,10. Le Fat,402,$$,,4 star rating
77,Firehouse Subs,63,,,3.5 star rating
78,Moe’s Southwest Grill,,,,
79,QDOBA Mexican Eats,5,,,3 star rating
